ID,TIPID,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation
96,1336,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
97,1337,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
98,1338,,,,,,,,,,,,,,,,,1.5,,,,0.0,0.0,0.0,1.5
99,1339,,,,,,,,,,,,,,,,,5.1,,,,0.0,0.0,0.0,5.1
100,1340,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
101,1341,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
102,1342,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
103,1343,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
104,1346,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
105,1347,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
106,1348,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
107,1349,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
108,1350,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
109,1351,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
110,1352,,,,,,,,,,,,,,,,,0.25,,,,0.0,0.0,0.0,0.25
111,1353,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
112,1354,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
113,1355,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
114,1357,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
115,1358,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
116,1359,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
117,1360,,,,,,,,,,,,,,6.2,,,,,,,0.0,0.0,0.0,6.2
