Allocation,ID,TIPID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
0.0,96,1336,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,97,1337,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,98,1338,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.1,99,1339,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
0.0,100,1340,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,101,1341,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,102,1342,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.1,103,1343,,,0.1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,104,1346,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,105,1347,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,106,1348,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,107,1349,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,108,1350,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,109,1351,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,110,1352,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.9,111,1353,,,,,,,0.9,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,112,1354,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,113,1355,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
