TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
5058.0,Hopkinton,,,,,,,,,,,,,,,0.12,,,,,,,,,0.12,,152.0,
5063.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072.0,Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5097.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5098.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5105.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5108.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5120.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5125.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5127.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5164.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
5166.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5183.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5188.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5192.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5193.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5194.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5207.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5210.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5223.0,Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,
5229.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5231.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5232.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5235.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5236.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5243.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
