TIPID,Municipalities,ID,LineItemName,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation
5094.0,Narragansett,654.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5095.0,New Shoreham,362.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5114.0,N. Kingstown,378.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5155.0,Pawtucket,406.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5156.0,Pawtucket,407.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5171.0,Portsmouth,419.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5217.0,Providence,447.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5250.0,S. Kingstown,681.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5251.0,S. Kingstown,682.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5252.0,S. Kingstown,683.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5260.0,Tiverton,475.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5275.0,Warwick,685.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5286.0,Westerly,496.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5292.0,Westerly,688.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5307.0,Woonsocket,513.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1460.0,Providence,193.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
5003.0,Barrington,629.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5006.0,Barrington,630.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5058.0,Hopkinton,346.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5063.0,Jamestown,642.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5072.0,Middletown,353.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5096.0,New Shoreham,363.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5097.0,New Shoreham,364.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5098.0,New Shoreham,365.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5105.0,Newport,372.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5106.0,Newport,373.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5107.0,Newport,374.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5108.0,Newport,375.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5112.0,Newport,377.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5120.0,N. Kingstown,380.0,,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0
5125.0,N. Kingstown,383.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5127.0,N. Kingstown,660.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5164.0,Portsmouth,413.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5166.0,Portsmouth,415.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5182.0,Providence,427.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5183.0,Providence,428.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5188.0,Providence,665.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5192.0,Providence,667.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5193.0,Providence,433.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5194.0,Providence,434.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
5200.0,Providence,438.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5202.0,Providence,440.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5207.0,Providence,671.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5210.0,Providence,673.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5211.0,Providence,674.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5223.0,Scituate,675.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5229.0,Smithfield,456.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5231.0,Smithfield,458.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5232.0,Smithfield,459.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5235.0,Smithfield,676.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5236.0,Smithfield,462.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5243.0,S. Kingstown,678.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5268.0,Warren,482.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5269.0,Warren,483.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5270.0,Warren,484.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5309.0,Woonsocket,514.0,,,,0.37,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.37
9007.0,"Central Falls, Cumberland, Pawtucket",599.0,,,,2.09,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.09
5020.0,Coventry,635.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5068.0,Lincoln,646.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5253.0,Statewide,469.0,,,,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5
5295.0,"Woonsocket, N. Smithfield, Lincoln, Central Falls, Cumberland, Pawtucket, Providence",689.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5001.0,Barrington,306.0,,,,0.126,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.126
5002.0,Barrington,307.0,,,,0.144,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.144
5021.0,Cranston,319.0,,,,0.147,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.147
5039.0,E. Providence,334.0,,,,0.096,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.096
5040.0,E. Providence,335.0,,,,0.051,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.051
5059.0,Jamestown,640.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5088.0,Narragansett,357.0,,,,0.24,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.24
5109.0,Newport,376.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5150.0,Pawtucket,662.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5203.0,Providence,669.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5224.0,Smithfield,453.0,,,,0.081,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.081
5267.0,Warren,481.0,,,,0.51,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.51
5285.0,Westerly,495.0,,,,0.261,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.261
5294.0,Woonsocket,503.0,,,,0.117,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.117
5011.0,"Pawtucket, Central Falls",314.0,,,0.85,,,,,,,,,,,,,,,,,2.7,0.0,0.0,0.0,3.55
5064.0,Jamestown,643.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5073.0,"Middletown, Newport, Portsmouth",647.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
