TIPID,Municipalities,ID_x,LineItemName_x,FY17GasTax,FY17RICAPHIP,FY17RIHMA,FY17RICAPprojects,FY17RICAPfacilities,FY17ProjectCloseouts,FY17IWAYLandSales,FY17GARVEE,FY17TollRevenue,FY17RailwayProgram,FY17HSIP,FY17TAP,FY17NHPP,FY17CMAQ,FY17Planning,FY17STP,FY17NationalFreight,FY17NHTSA,FY17FTA,FY17Earmarks,FY17TollCredits,FY17TransitBond,FY17allocation,ID_y,LineItemName_y,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond,FY18allocation,ID_x,LineItemName_x,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation,ID_y,LineItemName_y,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
886.0,,3038.0,,,0.5,0.4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9,470.0,Bridge Group 05TC (C),,,,,,,,,7.0,,,,,,,,,,,0.0,0.0,0.0,7.0,79.0,,,,,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,1.0,79.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0
818.0,,3039.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,407.0,Bridge Group 06,,,,,,,,,,,,,0.698,,,,,,,0.0,0.0,0.0,0.6975,80.0,,,,3.534,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.5339,80.0,,,,,,,,,,,,,,,,,5.534,,,,0.0,0.0,0.0,5.5339,8.0,0.0,0.0,0.0,0.0,0.0
819.0,,3040.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,408.0,Bridge Group 07,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,81.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,81.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
887.0,,3041.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,471.0,Bridge Group 07T (A),,,,,,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,2.0,82.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
820.0,,3042.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,409.0,Bridge Group 08,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,1.8752,5.6887,4.6887,0.0
821.0,,3043.0,,,0.145,,,,,,,,,,,,,,,1.301,,,0.0,0.0,0.0,1.4461,410.0,Bridge Group 09,,0.145,,,,,,,,,,,1.301,,,,,,,0.0,0.0,0.0,1.4461,84.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,84.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
888.0,,3044.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,472.0,Bridge Group 09TG (G),,,,,,,,,3.0,,,,,,,,,,,0.0,0.0,0.0,3.0,85.0,,,,,,,,,,1.8,,,,,,,,,,,0.0,0.0,0.0,1.8,85.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
889.0,,3045.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,473.0,Bridge Group 09TH (H),,,,,,,,,8.0,,,,,,,,,,,0.0,0.0,0.0,8.0,86.0,,,,0.4,,,,,,1.6,,,,,,,,,,,0.0,0.0,0.0,2.0,86.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0
822.0,,3046.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,411.0,Bridge Group 10,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,87.0,,,,,,,,,,,,,,0.5,,,,,,,0.0,0.0,0.0,0.4998,12.0,3.2484,3.2484,0.0,0.0,0.0
823.0,,3047.0,,,0.52,,,,,,,,,,,2.1,,,,,,,0.0,0.0,0.0,2.62,412.0,Bridge Group 11,,0.924,,,,,,,,,,,3.696,,,,,,,0.0,0.0,0.0,4.6198,88.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,88.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
824.0,,3048.0,,,0.484,,,,,,,,,,,1.93,,,,,,,0.0,0.0,0.0,2.414,413.0,Bridge Group 12,,1.084,,,,,,,,,,,2.598,,,,1.732,,,0.0,0.0,0.0,5.4139,89.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,89.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
825.0,,3049.0,,,0.232,,,,,,,,,,,0.928,,,,,,,0.0,0.0,0.0,1.16,414.0,Bridge Group 13,,1.558,,,,,,,,,,,5.6,,,0.632,,,,0.0,0.0,0.0,7.7898,90.0,,,1.558,,,,,,,,,,,4.831,,,1.401,,,,0.0,0.0,0.0,7.7898,90.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
826.0,,3050.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,415.0,Bridge Group 14,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,91.0,,,0.181,,,,,,,,,,,0.726,,,,,,,0.0,0.0,0.0,0.9071,16.0,6.8963,4.8963,0.0,0.0,0.0
827.0,,3051.0,,,0.198,,,,,,,,,,,0.793,,,,,,,0.0,0.0,0.0,0.9906,416.0,Bridge Group 15,,1.288,,,,,,,,,,,,,,5.151,,,,0.0,0.0,0.0,6.4387,92.0,,,1.288,,,,,,,,,,,,,,5.151,,,,0.0,0.0,0.0,6.4387,92.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
828.0,,3052.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,417.0,Bridge Group 16,,,,,,,,,,,,,0.046,,,,,,,0.0,0.0,0.0,0.046,93.0,,,,,,,,,,,,,,7.051,,,,,,,0.0,0.0,0.0,7.0508,93.0,,,,,,,,,,,,,,8.051,,,,,,,0.0,0.0,0.0,8.051,18.0,0.0,0.0,0.0,0.0,0.0
890.0,,3053.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,474.0,Bridge Group 16T (M),,,,,,,,,1.6,,,,,,,,,,,0.0,0.0,0.0,1.6,94.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,94.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0
829.0,,3054.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,418.0,Bridge Group 17,,,,,,,,,,,,,0.7,,,,0.348,,,0.0,0.0,0.0,1.0481,95.0,,,,,,,,,,,,,,6.0,,,1.062,,,,0.0,0.0,0.0,7.0625,95.0,,,,,,,,,,,,,,4.732,,,2.166,0.164,,,0.0,0.0,0.0,7.0625,19.0,0.0,0.0,0.0,0.0,0.0
830.0,,3055.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,419.0,Bridge Group 18,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,96.0,,,,,,,,,,,,,,,,,0.998,,,,0.0,0.0,0.0,0.9982,96.0,,,,,,,,,,,,,,8.739,,,,,,,0.0,0.0,0.0,8.7385,20.0,6.7385,0.0,0.0,0.0,0.0
831.0,,3056.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,420.0,Bridge Group 19,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,97.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,97.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.2614,6.3993,10.9993
832.0,,3057.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,421.0,Bridge Group 20,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,98.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,98.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,22.0,0.0,0.7886,5.626,5.626,0.0
833.0,,3058.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,422.0,Bridge Group 21,,,,,,,,,,,,,,,,,0.554,,,0.0,0.0,0.0,0.5539,99.0,,,,,,,,,,,,,,,,,4.851,,,,0.0,0.0,0.0,4.8506,99.0,,,,,,,,,,,,,,,,,4.851,,,,0.0,0.0,0.0,4.8506,23.0,0.0,0.0,0.0,0.0,0.0
834.0,,3059.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,423.0,Bridge Group 22,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,24.0,0.0,3.344,9.7862,6.1862,0.0
835.0,,3060.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,424.0,Bridge Group 23,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,101.0,,,0.156,,,,,,,,,,,,,,0.626,,,,0.0,0.0,0.0,0.7815,25.0,5.5798,5.5798,0.0,0.0,0.0
836.0,,3061.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,425.0,Bridge Group 24,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,102.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,102.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,6.1882,11.9462,23.3462
837.0,,3062.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,426.0,Bridge Group 25,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,103.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,103.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,27.0,0.0,0.724,5.2658,3.2658,0.0
838.0,,3063.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,427.0,Bridge Group 26,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,104.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,104.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,28.0,0.0,0.6654,5.3254,3.3254,0.0
921.0,,3064.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,504.0,Bridge Group 27,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,105.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,105.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
922.0,,3065.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,505.0,Bridge Group 28,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,106.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,106.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0
841.0,,3066.0,,,0.473,,,,,,,,,,,1.9,,,,,,,0.0,0.0,0.0,2.373,509.0,Bridge Group 30,,0.7659,,,,,,,,,,,6.892,,,,,,,0.0,0.0,0.0,7.6583,107.0,,,1.311,,,,,,,,,,,5.242,,,,,,,0.0,0.0,0.0,6.5528,107.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
842.0,,3067.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,510.0,Bridge Group 31,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,108.0,,,,,,,,,,,,,,,,,0.72,,,,0.0,0.0,0.0,0.7202,108.0,,,,2.561,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.5609,30.0,4.2422,4.0807,0.0,0.0,0.0
843.0,,3068.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,511.0,Bridge Group 32,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,109.0,,,,,,,,,,,,,,0.23,,,,,,,0.0,0.0,0.0,0.2296,109.0,,,,2.372,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.3718,31.0,9.6562,7.5521,0.0,0.0,0.0
844.0,,3069.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,428.0,Bridge Group 33,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,110.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,110.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.5362,21.763
845.0,,3070.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,429.0,Bridge Group 34,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,111.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,111.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,33.0,2.1044,3.5045,4.7046,1.0349,0.0
891.0,,3071.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,475.0,Bridge Group 34TG (G),,,,,,,,,1.2,,,,,,,,,,,0.0,0.0,0.0,1.2,112.0,,,,,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,1.0,112.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0
846.0,,3072.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,430.0,Bridge Group 35,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,113.0,,,0.144,,,,,,,,,,,,,,1.292,,,,0.0,0.0,0.0,1.4364,34.0,5.1073,12.449,4.1497,0.0,0.0
892.0,,3073.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,476.0,Bridge Group 35TH (H),,,,,,,,,0.7,,,,,,,,,,,0.0,0.0,0.0,0.7,114.0,,,,,,,,,,0.6,,,,,,,,,,,0.0,0.0,0.0,0.6,114.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
847.0,,3074.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,431.0,Bridge Group 36,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,115.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,115.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
848.0,,3075.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,432.0,Bridge Group 37,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,116.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,116.0,,,0.305,0.122,,,,,,,,,,0.111,,,,,,,0.0,0.0,0.0,0.538,36.0,1.0661,3.6223,1.7074,0.0,0.0
