TIPID,Municipalities,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
5295.0,"Woonsocket, N. Smithfield, Lincoln, Central Falls, Cumberland, Pawtucket, Providence",689,,,,,
5001.0,Barrington,306,0.021,0.0,0.0,0.0,0.0
5002.0,Barrington,307,0.024,0.0,0.0,0.0,0.0
5021.0,Cranston,319,0.0245,0.0,0.0,0.0,0.0
5039.0,E. Providence,334,0.016,0.0,0.0,0.0,0.0
5040.0,E. Providence,335,0.0085,0.0,0.0,0.0,0.0
5059.0,Jamestown,640,,,,,
5088.0,Narragansett,357,0.04,0.0,0.0,0.0,0.0
5109.0,Newport,376,0.23,0.0,0.0,0.0,0.0
5150.0,Pawtucket,662,,,,,
5203.0,Providence,669,,,,,
5224.0,Smithfield,453,0.0135,0.0,0.0,0.0,0.0
5267.0,Warren,481,0.085,0.0,0.0,0.0,0.0
5285.0,Westerly,495,0.0435,0.0,0.0,0.0,0.0
5294.0,Woonsocket,503,0.0195,0.0,0.0,0.0,0.0
5011.0,"Pawtucket, Central Falls",314,0.0,0.0,0.0,0.0,0.0
5064.0,Jamestown,643,,,,,
5073.0,"Middletown, Newport, Portsmouth",647,,,,,
5111.0,Newport,656,,,,,
5113.0,"Newport, Middletown, Portsmouth, Providence",657,,,,,
5195.0,Providence,435,0.0,0.0,0.0,0.0,0.0
5204.0,Providence,441,0.0,0.0,0.0,0.0,0.0
5208.0,Providence,672,,,,,
5249.0,S. Kingstown,468,0.0,0.0,0.0,0.0,0.0
5254.0,Statewide,470,0.0,0.0,0.0,0.0,0.0
5255.0,Statewide,471,0.0,0.0,0.0,0.0,0.0
5256.0,Statewide,472,3.2,1.5,1.5,1.5,1.5
5308.0,Woonsocket,690,,,,,
9008.0,Statewide,693,,,,,
9009.0,Statewide,694,,,,,
7109.0,Statewide,537,1.0,1.0,1.0,1.0,1.0
1296.0,Barrington,60,0.0,0.0,0.0,0.0,0.0
1297.0,Barrington,61,0.0,0.0,0.2,2.0,0.0
5004.0,Barrington,308,0.0,0.0,0.0,0.0,0.0
1290.0,"Barrington, E. Providence",54,1.4,0.0,0.0,0.0,0.0
1298.0,"Barrington, E. Providence",62,0.0,0.0,0.4,3.8,0.0
1300.0,Bristol,64,0.0,0.0,0.0,0.0,0.0
1301.0,Bristol,65,0.0,0.0,0.5,2.3,3.3
1299.0,Bristol,63,0.25,1.3,0.0,0.0,0.0
1302.0,Burrillville,66,0.0,0.0,0.0,0.0,0.0
1304.0,Burrillville,67,0.0,0.0,0.0,0.1,1.4
5009.0,Burrillville,312,0.0,0.0,0.0,0.0,0.0
5008.0,Burrillville,311,0.0,0.0,0.0,0.0,0.0
1305.0,Central Falls,68,0.0,0.0,0.0,0.0,0.0
1306.0,"Central Falls, Pawtucket",69,0.0,0.3,2.7,0.0,0.0
1307.0,"Central Falls, Pawtucket, Cumberland",70,0.0,0.2,1.7,0.0,0.0
1317.0,"Central Falls, Pawtucket, Cumberland",78,0.0,0.0,2.1,0.0,0.0
1308.0,Charlestown,71,1.9,0.0,0.0,0.0,0.0
1311.0,Coventry,73,0.0,0.0,0.0,0.1,0.35
1309.0,Coventry,72,0.5,0.0,0.0,0.0,0.0
5018.0,Coventry,317,0.0,0.0,0.0,0.0,0.0
5019.0,Coventry,318,0.0,0.0,0.0,0.0,0.0
1313.0,"Coventry, W. Warwick",74,0.0,0.0,0.0,0.3,2.9
1314.0,Cranston,75,0.0,0.0,0.0,0.0,0.0
1315.0,Cranston,76,0.0,0.0,0.0,0.3,3.5
5026.0,Cranston,323,0.0,0.0,0.0,0.0,0.0
5027.0,Cranston,324,0.0,0.0,0.0,0.0,0.0
1318.0,Cumberland,79,0.0,0.35,3.75,0.0,0.0
1319.0,Cumberland,80,0.0,0.1,0.4,0.0,0.0
1321.0,Cumberland,81,0.0,0.0,0.2,1.7,0.0
1322.0,Cumberland,82,0.0,0.0,0.2,1.9,0.0
5031.0,Cumberland,328,0.0,0.0,0.0,0.0,0.0
1284.0,E. Greenwich,49,0.0,0.0,0.0,0.0,0.0
5038.0,E. Greewich,333,0.0,0.0,0.0,0.0,0.0
1323.0,E. Providence,83,0.0,0.0,0.0,0.0,0.0
1325.0,E. Providence,85,0.0,0.0,0.0,0.0,0.0
1326.0,E. Providence,86,0.0,0.0,0.4,2.4,2.0
1272.0,E. Providence,39,0.0,0.2,1.9,0.0,0.0
1273.0,E. Providence,40,0.0,0.0,0.0,0.0,0.0
1295.0,E. Providence,59,0.2,2.5,0.0,0.0,0.0
1324.0,E. Providence,84,0.0,0.0,0.1,1.6,0.0
5050.0,E. Providence,342,0.0,0.0,0.0,0.0,0.0
5048.0,E. Providence,340,0.0,0.0,0.0,0.0,0.0
5041.0,E. Providence,336,0.0,0.0,0.0,0.0,0.0
5046.0,E. Providence,339,0.0,0.0,0.0,0.0,0.0
5049.0,E. Providence,341,0.0,0.0,0.0,0.0,0.0
1327.0,"Foster, Glocester",87,0.0,0.0,0.0,0.0,0.0
1579.0,"Foster, Scituate",305,0.0,0.0,0.6,6.4,0.0
1328.0,Glocester,88,0.0,0.0,0.0,0.0,0.0
1329.0,Glocester,89,0.0,0.0,0.0,0.0,0.0
1330.0,Glocester,90,0.0,0.0,0.0,0.0,0.0
1333.0,Hopkinton,93,0.0,0.0,0.0,0.05,0.65
1331.0,Hopkinton,91,0.0,0.2,1.7,0.0,0.0
1334.0,Hopkinton,94,1.3,0.0,0.0,0.0,0.0
1332.0,Hopkinton,92,0.0,0.0,0.0,0.05,0.55
1316.0,Hopkinton,77,0.0,0.0,0.0,0.0,0.0
9501.0,Hopkinton,619,0.0,0.0,0.0,0.0,0.0
5057.0,Hopkinton,345,0.0,0.0,0.0,0.0,0.0
1335.0,"Hopkinton, Richmond",95,0.0,0.0,0.0,0.0,0.0
1336.0,Jamestown,96,0.0,0.1,1.3,0.0,0.0
1340.0,Johnston,100,0.0,0.0,0.2,2.0,0.0
1337.0,Johnston,97,0.0,0.15,1.3,0.0,0.0
1339.0,Johnston,99,5.7,0.0,0.0,0.0,0.0
1338.0,Johnston,98,0.0,0.0,0.0,0.0,0.0
1341.0,"Johnston, Smithfield",101,0.0,0.0,0.0,0.2,1.9
1275.0,"Johnston, Smithfield, Lincoln",42,0.0,0.0,0.0,0.5,15.5
1342.0,Lincoln,102,0.0,0.1,0.6,0.0,0.0
1343.0,Lincoln,103,0.0,0.0,0.0,0.0,0.0
1346.0,Lincoln,104,0.0,0.1,1.0,0.0,0.0
1347.0,Lincoln,105,0.4,2.6,0.0,0.0,0.0
1348.0,Lincoln,106,0.2,1.3,0.0,0.0,0.0
1349.0,Lincoln,107,0.0,0.0,0.0,0.05,0.35
1350.0,Lincoln,108,0.0,0.0,0.0,0.2,1.9
1276.0,"Lincoln, Cumberland",43,0.0,0.0,0.0,0.9,9.1
1292.0,"Lincoln, N. Smithfield",56,0.0,4.5,0.4,0.0,0.0
1353.0,Little Compton,111,0.0,0.0,0.0,0.0,0.0
1354.0,Little Compton,112,0.0,0.0,0.1,1.2,0.0
1351.0,Little Compton,109,0.0,0.0,0.2,1.6,0.0
1352.0,Little Compton,110,2.5,0.0,0.0,0.0,0.0
1355.0,Middletown,113,0.0,0.0,0.1,0.0,0.7
1357.0,Middletown,114,0.0,0.0,0.0,0.1,1.5
1359.0,Middletown,116,0.0,0.0,0.0,0.1,1.6
1358.0,Middletown,115,0.0,0.0,0.0,0.0,0.0
5070.0,Middletown,351,0.0,0.0,0.0,0.0,0.0
1360.0,"Middletown, Portsmouth",117,0.0,0.0,0.0,0.0,0.0
1366.0,N. Kingstown,122,0.0,0.0,0.0,0.0,0.0
1367.0,N. Kingstown,123,0.0,0.0,0.0,0.1,0.9
1368.0,N. Kingstown,124,0.0,0.0,0.0,0.0,0.0
1365.0,N. Kingstown,121,0.0,0.0,0.4,4.2,0.0
5126.0,N. Kingstown,384,0.0,0.0,0.0,0.0,0.0
5326.0,N. Kingstown,527,0.0,0.0,0.0,0.0,0.0
5121.0,N. Kingstown,381,0.0,0.0,0.0,0.0,0.0
1283.0,"N. Kingstown, E. Greenwich",48,0.0,0.0,0.0,0.7,7.3
5129.0,N. Providence,386,0.0,0.0,0.0,0.0,0.0
5130.0,N. Providence,387,0.0,0.0,0.0,0.0,0.0
9502.0,N. Smithfield,620,0.0,0.0,0.0,0.0,0.0
1293.0,N. Smithfield,57,0.0,0.8,8.0,0.0,0.0
1369.0,N. Smithfield,125,0.0,0.0,0.0,0.2,1.4
1370.0,N. Smithfield,126,0.0,0.0,0.0,0.2,1.9
1371.0,"N. Smithfield, Lincoln",127,0.0,0.1,1.3,0.0,0.0
1372.0,"N. Smithfield, Woonsocket",128,0.0,0.0,0.1,1.25,0.0
1361.0,Narragansett,118,0.0,0.0,0.0,0.0,0.0
1362.0,Narragansett,119,0.0,0.4,3.0,1.0,0.0
5090.0,Narragansett,359,0.0,0.0,0.0,0.0,0.0
5091.0,Narragansett,360,0.0,0.0,0.0,0.0,0.0
5101.0,New Shoreham,368,0.0,0.0,0.0,0.0,0.0
5100.0,New Shoreham,367,0.0,0.0,0.0,0.0,0.0
5104.0,New Shoreham,371,0.0,0.0,0.0,0.0,0.0
5099.0,New Shoreham,366,0.0,0.0,0.0,0.0,0.0
5103.0,New Shoreham,370,0.0,0.0,0.0,0.0,0.0
5102.0,New Shoreham,369,0.0,0.0,0.0,0.0,0.0
9201.0,Newport,604,9.4,9.3,12.1,7.3,0.0
1364.0,"Newport, Middletown",120,0.0,0.0,0.0,0.0,0.0
1373.0,Pawtucket,129,0.0,0.0,0.0,0.0,0.0
1271.0,Pawtucket,38,0.0,0.0,0.0,0.0,0.0
1375.0,"Pawtucket, E. Providence",130,0.0,0.2,2.6,0.0,0.0
9503.0,Portsmouth,621,0.0,0.0,0.0,0.0,0.0
1377.0,Portsmouth,132,0.0,0.1,0.9,0.0,0.0
1379.0,Portsmouth,134,4.6,9.5,0.6,0.0,0.0
1380.0,Portsmouth,135,0.3,3.6,0.0,0.0,0.0
1286.0,Portsmouth,51,0.0,0.0,0.0,0.0,0.0
1376.0,Portsmouth,131,0.0,0.24,1.3,1.2,0.0
1378.0,Portsmouth,133,0.0,0.0,0.0,0.0,0.0
1269.0,Providence,36,0.0,0.0,0.0,0.0,0.0
1281.0,Providence,47,0.0,0.0,0.2,2.2,0.0
1381.0,Providence,136,0.0,0.0,0.0,0.0,0.0
1384.0,Providence,137,0.0,0.0,0.0,0.0,0.0
1425.0,Providence,175,0.0,0.0,0.0,0.0,0.0
5179.0,Providence,424,0.0,0.0,0.0,0.0,0.0
5191.0,Providence,432,0.0,0.0,0.0,0.0,0.0
5209.0,Providence,443,0.0,0.0,0.0,0.0,0.0
1285.0,"Providence, Cranston",50,0.0,0.0,0.6,3.2,3.2
1280.0,"Providence, Johnston",46,0.0,0.0,0.0,0.9,9.6
1291.0,"Providence, N. Providence, Lincoln",55,0.0,0.0,0.0,0.0,0.0
1386.0,"Providence, Pawtucket",138,0.0,0.2,2.5,0.0,0.0
1270.0,"Providence, Pawtucket",37,0.1,4.2,4.2,0.0,0.0
1387.0,Richmond,139,0.0,0.0,0.0,0.1,1.1
5218.0,Richmond,448,0.0,0.0,0.0,0.0,0.0
5220.0,Richmond,450,0.0,0.0,0.0,0.0,0.0
1277.0,S. Kingstown,44,0.0,0.0,0.0,0.0,0.0
1395.0,S. Kingstown,147,0.0,0.0,0.0,0.0,0.0
1397.0,S. Kingstown,148,0.3,6.3,0.0,0.0,0.0
1398.0,S. Kingstown,149,0.0,0.0,0.0,0.0,0.0
1399.0,S. Kingstown,150,4.3,0.0,0.0,0.0,0.0
1400.0,S. Kingstown,151,0.0,0.0,0.1,1.3,0.0
5246.0,S. Kingstown,466,0.0,0.0,0.0,0.0,0.0
5323.0,S. Kingstown,525,0.0,0.0,0.0,0.0,0.0
5324.0,S. Kingstown,526,0.0,0.0,0.0,0.0,0.0
1279.0,"S. Kingstown, N. Kingstown",45,3.3,5.9,0.0,0.0,0.0
1576.0,"S. Kingstown, N. Kingstown, Exeter",303,0.0,0.0,0.0,0.7,6.9
1401.0,"S. Kingstown, Narragansett",152,0.0,0.0,0.0,0.0,0.0
