TIPID,Municipalities,Allocation,ID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
5098.0,New Shoreham,0.0,366,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5105.0,Newport,0.0,373,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5106.0,Newport,0.0,374,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5107.0,Newport,0.0,375,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5108.0,Newport,0.0,376,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5112.0,Newport,0.0,378,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5120.0,N. Kingstown,0.0,381,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5125.0,N. Kingstown,0.0,384,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5127.0,N. Kingstown,0.0,660,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5164.0,Portsmouth,0.0,414,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5166.0,Portsmouth,0.28,416,,,,0.28,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5182.0,Providence,0.0,428,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5183.0,Providence,0.94,429,,,,0.94,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5188.0,Providence,0.0,665,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5192.0,Providence,0.0,667,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5193.0,Providence,0.0,434,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5194.0,Providence,0.0,435,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
5200.0,Providence,0.0,439,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5202.0,Providence,0.0,441,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5207.0,Providence,0.0,671,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5210.0,Providence,0.0,673,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5211.0,Providence,0.0,674,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5223.0,Scituate,0.0,675,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5229.0,Smithfield,0.0,457,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5231.0,Smithfield,0.0,459,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5232.0,Smithfield,0.0,460,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5235.0,Smithfield,0.0,676,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5236.0,Smithfield,0.0,463,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5243.0,S. Kingstown,0.0,678,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5268.0,Warren,0.0,483,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5269.0,Warren,0.0,484,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5270.0,Warren,0.0,485,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5309.0,Woonsocket,0.0,515,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
9007.0,"Central Falls, Cumberland, Pawtucket",1.65,600,,,,1.65,,,,,,,,,,,,,,,,,0.0,0.0,0.0
