TIPID,Municipalities,FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName
5095.0,New Shoreham,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,987,,
5114.0,N. Kingstown,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1003,,
5155.0,Pawtucket,,0.0,,,,,,,,,,,0.178,,,0.072,,,,0.0,,0.0,0.25,1031,,
5156.0,Pawtucket,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,1032,,
5171.0,Portsmouth,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1044,,
5217.0,Providence,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1072,,
5250.0,S. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1306,,
5251.0,S. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1307,,
5252.0,S. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1308,,
5260.0,Tiverton,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1100,,
5275.0,Warwick,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1310,,
5286.0,Westerly,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1121,,
5292.0,Westerly,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1313,,
5307.0,Woonsocket,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1138,,
1460.0,Providence,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,818,,
5003.0,Barrington,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1254,,
5006.0,Barrington,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1255,,
5058.0,Hopkinton,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,971,,
5063.0,Jamestown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1267,,
5072.0,Middletown,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,978,,
5096.0,New Shoreham,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,988,,
5097.0,New Shoreham,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,989,,
5098.0,New Shoreham,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,990,,
5105.0,Newport,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,997,,
5106.0,Newport,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,998,,
5107.0,Newport,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,999,,
5108.0,Newport,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1000,,
5112.0,Newport,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1002,,
5120.0,N. Kingstown,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1005,,
5125.0,N. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1008,,
5127.0,N. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1285,,
5164.0,Portsmouth,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1038,,
5166.0,Portsmouth,,0.0,,,,,,,,,,,,,,0.22,,,,0.0,,0.0,0.22,1040,,
5182.0,Providence,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1052,,
5183.0,Providence,,0.0,,,,,,,,,,,0.94,,,,,,,0.0,,0.0,0.94,1053,,
5188.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1290,,
5192.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1292,,
5193.0,Providence,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1058,,
5194.0,Providence,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,1059,,
5200.0,Providence,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1063,,
5202.0,Providence,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1065,,
5207.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1296,,
5210.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1298,,
5211.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1299,,
5223.0,Scituate,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1300,,
5229.0,Smithfield,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1081,,
5231.0,Smithfield,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1083,,
5232.0,Smithfield,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1084,,
5235.0,Smithfield,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1301,,
5236.0,Smithfield,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1087,,
5243.0,S. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1303,,
5268.0,Warren,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1107,,
5269.0,Warren,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1108,,
5270.0,Warren,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1109,,
5309.0,Woonsocket,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1139,,
9007.0,"Central Falls, Cumberland, Pawtucket",,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,1224,,
5020.0,Coventry,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1260,,
5068.0,Lincoln,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1271,,
5253.0,Statewide,,0.0,,,,,,,,,,,0.578,,,,,,,0.0,,0.0,0.578,1094,,
5295.0,"Woonsocket, N. Smithfield, Lincoln, Central Falls, Cumberland, Pawtucket, Providence",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1314,,
