TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
2018.0,"Barrington, E. Providence, N. Kingstown, Warren",,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,107,
2019.0,Cranston,,,,,,0.4,,,,,,,,,,,,,,,,,,0.4,,108,
2020.0,Coventry,,,,,,0.4,,,,,,,,,,,,,,,,,,0.4,,109,
2021.0,Warwick,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,111,
2022.0,Johnston,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,112,
2023.0,South Kingstown,,,,,,0.4,,,,,,,,,,,,,,,,,,0.4,,114,
2024.0,"Coventry, Scituate, W. Greenwich",,,,,,0.9,,,,,,,,,,,,,,,,,,0.9,,115,
2025.0,Providence,,,,,0.465,1.02,,,,,,,,0.015,,,,,,,,,,1.5,,116,
2026.0,Middletown,,,,,,2.6,,,,,,,,,,,,,,,,,,2.6,,122,
2027.0,Warwick,,,,,,0.2,,,,,,,,,,,,,,,,,,0.2,,123,
2028.0,Johnston,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,3.0,142,
2029.0,North Kingstown,,,,,,,,,,,,,,,0.43,,,,,,,,,0.43,,144,
2030.0,Hopkinton,,,,,,,,,,,,,,,3.0,,,,,9.0,,,,12.0,,192,
7901.0,"Westerly, South Kingston, Woonsocket",,,,,,,,,,,,,0.4,,,,,,,,,,,0.4,,183,
7904.0,Portsmouth,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,186,
5184.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,0.0,,190,
7019.0,Providence,,,,,,,,,,,,,,,,,0.0,,,,,,,0.06,0.0,198,
7101.0,,,2.6,,,,,,,,,,,,,,,,,,,,,,2.6,,1,
7102.0,,,1.29,,,,,,,,,,,,,0.24,,,,,,,,,1.53,,2,
7103.0,,,,,,0.03,,,,,,,,,,0.27,,,,,,,,,0.3,,3,
7104.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.1,,4,
7105.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.1,,5,
7106.0,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.1,,6,
7107.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,7,
7108.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,8,
7201.0,,,,,,,,,2.25,,,,,,,,,,6.75,,,,,,9.0,,10,
7202.0,,,,,,,,,0.65,,,,,,,,,,1.95,,,,,,2.6,,11,
7203.0,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.1,,12,
7303.0,,,,,,,,,0.0625,,,,,,,,,,0.1875,,,,,,0.25,,13,
7301.0,,,,,,,,,0.25,,,,,,,,,,0.75,,,,,,1.0,,14,
7305.0,,,,,,,,,0.65,,,,,,,,,,1.95,,,,,,2.6,,15,
7306.0,,,,,,,,,0.3934,,,,,,,,,,1.1803,,,,,,1.5737,,16,
7307.0,,,,,,,,,0.5083,,,,,,,,,,1.5249,,,,,,2.0332,,17,
7304.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,18,
7302.0,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,,19,
9404.0,,,,,,,,,,,,,,,,,,,2.05,,,,,,2.05,,20,
9403.0,,,,,,,,,1.875,,,,,,,,,,,,,,,,1.875,,21,
9405.0,,,,,,,,,,,,,,,,,,,1.5625,,,,,,1.5625,,22,
9401.0,,,,,,,,,,,,,,,,,,,1.5625,,,,,,1.5625,,23,
9402.0,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.05,,24,
